interveningOpponents,interveningTeammates,minute,second,label,angle,distance,bodyPart_سایر,bodyPart_سر,bodyPart_پا,playType_جریان بازی,playType_ضربه آزاد مستقیم,playType_مستقیم از کرنر,playType_پنالتی,interferenceOnShooter_زیاد,interferenceOnShooter_متوسط,interferenceOnShooter_کم
1,0,70,9,1,18.54408751643558,17.530810021216933,0,0,1,1,0,0,0,0,1,0
3,0,55,4,0,13.982592487966803,17.090313045699308,0,0,1,1,0,0,0,0,1,0
6,2,86,31,0,14.153254558448031,29.456534079894737,0,0,1,0,1,0,0,0,0,1
4,1,77,2,0,15.458384060145306,26.94856025838857,0,0,1,1,0,0,0,0,1,0
2,0,76,46,1,31.31591767184017,11.932141467481856,0,0,1,1,0,0,0,0,1,0
1,0,40,15,0,64.70199666137884,5.691230095506595,0,1,0,1,0,0,0,0,0,1
3,0,88,8,0,28.217620984698886,14.513927793674599,0,1,0,1,0,0,0,0,1,0
1,0,10,29,0,35.503000773870625,10.27329061206778,0,1,0,1,0,0,0,0,0,1
3,0,58,45,0,17.70102480544618,23.473306115671054,0,0,1,1,0,0,0,0,1,0
2,1,43,55,0,39.825787946920066,9.371792784734414,0,0,1,1,0,0,0,0,1,0
2,0,6,45,0,21.463415518086098,14.11385135248349,0,1,0,1,0,0,0,0,1,0
3,0,5,42,0,18.136328063675833,15.556712377620151,0,0,1,1,0,0,0,0,0,1
2,0,54,41,0,20.689093973236645,15.971890933762353,0,0,1,1,0,0,0,0,1,0
3,0,16,29,0,33.5844742910857,11.590017256242547,0,1,0,1,0,0,0,0,1,0
2,0,88,44,0,14.08623516475427,23.02234132315825,0,0,1,1,0,0,0,0,0,1
2,0,50,44,0,41.97300817846122,5.80152566141011,0,1,0,1,0,0,0,0,1,0
4,1,90,6,0,18.078415208000482,22.974030991534768,0,0,1,1,0,0,0,0,1,0
1,1,18,37,0,39.61207010341655,7.287503001714648,0,1,0,1,0,0,0,0,0,1
3,0,48,28,0,13.25934426819969,29.81250241090137,0,0,1,1,0,0,0,0,1,0
2,0,45,26,0,30.979324912018285,8.437298145733621,0,1,0,1,0,0,0,0,1,0
2,0,42,37,0,18.00073802345754,17.48082663949277,0,0,1,1,0,0,0,1,0,0
4,0,12,17,0,31.94511948027957,11.296924360196453,0,0,1,1,0,0,0,0,0,1
1,0,11,51,0,31.422819325483786,12.876272752625272,0,0,1,1,0,0,0,0,0,1
1,0,88,20,1,39.68647990309388,8.784816446574169,0,1,0,1,0,0,0,0,0,1
2,0,57,43,0,24.002613295897095,15.189430535737673,0,0,1,1,0,0,0,0,0,1
2,0,0,58,0,13.816623024372307,23.567046908766486,0,0,1,1,0,0,0,0,0,1
4,0,63,42,0,10.20855650245796,23.031248337856113,0,0,1,1,0,0,0,0,0,1
3,0,86,56,0,22.015010812969987,18.76006396577581,0,0,1,1,0,0,0,0,0,1
1,0,67,57,0,45.235783769876605,8.762157268618271,0,0,1,1,0,0,0,0,1,0
2,0,54,22,0,50.50636001403097,7.24486024709932,0,0,1,1,0,0,0,0,0,1
2,0,36,25,1,34.9424486223847,10.492521146035399,0,0,1,1,0,0,0,0,0,1
3,0,50,8,1,28.586772818789868,13.574461315278777,0,0,1,1,0,0,0,0,1,0
3,0,29,58,0,16.25931800061945,24.529706480102856,0,0,1,1,0,0,0,0,0,1
8,3,39,9,0,14.766676462003979,28.089588818635278,0,0,1,0,1,0,0,0,0,1
2,0,18,33,0,16.84903551707772,24.70138862493362,0,0,1,1,0,0,0,0,0,1
1,0,58,41,1,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
3,0,4,20,0,14.063402747560986,16.607266481874735,0,0,1,1,0,0,0,1,0,0
2,0,85,36,0,35.493911251206974,9.893078388449169,0,1,0,1,0,0,0,0,0,1
3,0,46,47,1,39.86863207938925,9.933423377667943,0,1,0,1,0,0,0,0,1,0
5,0,86,30,1,18.703075326169866,22.090780882531064,0,0,1,0,1,0,0,0,0,1
3,1,23,32,0,12.422241790363215,19.226024029944416,0,0,1,1,0,0,0,0,1,0
2,0,15,25,0,21.117445234610397,16.535758222712378,0,0,1,1,0,0,0,0,0,1
2,0,23,9,1,50.24330468398792,5.886229693105766,0,0,1,1,0,0,0,1,0,0
4,0,35,26,0,19.892799186424615,14.146070125656808,0,0,1,1,0,0,0,1,0,0
1,0,90,2,0,65.94149400005497,5.524499977373519,0,0,1,1,0,0,0,0,0,1
1,0,68,39,0,49.136247166985335,7.9956488167002435,0,1,0,1,0,0,0,0,0,1
3,1,63,31,0,17.108463277282276,20.267831655112985,0,0,1,1,0,0,0,1,0,0
3,0,68,44,0,29.445425972516553,13.831156856893786,0,0,1,1,0,0,0,0,1,0
1,0,89,20,1,26.794859728271195,12.426817774474687,0,0,1,1,0,0,0,0,1,0
2,0,72,41,0,26.737282003963365,15.31034290928848,0,1,0,1,0,0,0,1,0,0
1,0,44,39,0,23.53933141240885,13.61224816112313,0,0,1,1,0,0,0,1,0,0
3,0,40,12,0,24.780049312874546,11.660437384592399,0,1,0,1,0,0,0,0,1,0
6,0,85,9,0,23.49224858244868,16.7981903787283,0,0,1,1,0,0,0,0,1,0
1,0,60,44,0,20.46040842755002,14.293138213842335,0,0,1,1,0,0,0,0,0,1
2,0,16,14,0,23.361616326727628,14.41436089460785,0,1,0,1,0,0,0,1,0,0
3,1,23,13,0,17.34151037194896,23.22571204505903,0,0,1,1,0,0,0,0,1,0
3,0,67,45,0,14.044834604058245,19.636700333813724,0,0,1,1,0,0,0,0,1,0
2,0,72,11,0,12.305763925341642,30.558890686672513,0,0,1,1,0,0,0,0,1,0
